local_authority,n_votes,cndidate_won,con,grn,ind,lab,ldem,other,ukip,local_authority_ons_code
Sunderland,68804.0,25.0,20195.0,4191.0,2820.0,32344.0,8342.0,912.0,0.0,E08000024
Sutton,178825.0,54.0,64945.0,4478.0,4128.0,31753.0,69320.0,118.0,4083.0,E09000029
Swindon,62166.0,19.0,25766.0,2875.0,0.0,26346.0,4761.0,0.0,2418.0,E06000030
Tameside,48524.0,19.0,14686.0,3447.0,359.0,26105.0,658.0,2877.0,392.0,E08000008
Tamworth,16835.0,10.0,8041.0,548.0,801.0,6132.0,161.0,0.0,1152.0,E07000199
Tandridge,21042.0,14.0,7481.0,0.0,3161.0,1832.0,4239.0,3655.0,674.0,E07000215
Three Rivers,23820.0,13.0,9559.0,943.0,116.0,3798.0,8905.0,0.0,499.0,E07000102
Thurrock,29575.0,16.0,10574.0,0.0,0.0,11779.0,0.0,6376.0,846.0,E06000034
Tower Hamlets,172410.0,45.0,17107.0,13661.0,590.0,79551.0,14897.0,46604.0,0.0,E09000030
Trafford,76820.0,22.0,28226.0,6438.0,165.0,35178.0,5411.0,391.0,1011.0,E08000009
Tunbridge Wells,26037.0,16.0,11134.0,65.0,0.0,5587.0,6020.0,3105.0,126.0,E07000116
Wakefield,68313.0,21.0,23236.0,749.0,2633.0,35344.0,3297.0,2288.0,766.0,E08000036
Walsall,61224.0,21.0,29237.0,626.0,1782.0,25671.0,2456.0,0.0,1452.0,E08000030
Waltham Forest,198159.0,60.0,47608.0,10963.0,385.0,115189.0,20453.0,3561.0,0.0,E09000031
Wandsworth,287886.0,60.0,121295.0,12969.0,4150.0,122220.0,24387.0,2596.0,269.0,E09000032
Warwickshire,2605.0,1.0,266.0,1139.0,0.0,1164.0,36.0,0.0,0.0,E10000031
Watford,27481.0,12.0,5737.0,278.0,0.0,9244.0,11997.0,0.0,225.0,E07000103
Welwyn Hatfield,32281.0,19.0,13854.0,0.0,1299.0,8948.0,7972.0,208.0,0.0,E07000104
West Lancashire,24636.0,18.0,9890.0,203.0,0.0,12436.0,97.0,2010.0,0.0,E07000127
West Oxfordshire,20467.0,17.0,9299.0,780.0,620.0,5405.0,4363.0,0.0,0.0,E07000181
Westminster,146273.0,60.0,65512.0,3069.0,164.0,62409.0,13982.0,1137.0,0.0,E09000033
Weymouth and Portland,1420.0,1.0,558.0,508.0,0.0,354.0,0.0,0.0,0.0,E07000053
Wigan,62113.0,25.0,14980.0,401.0,6103.0,32512.0,2343.0,4578.0,1196.0,E08000010
Winchester,37413.0,15.0,17660.0,924.0,0.0,3360.0,15417.0,0.0,52.0,E07000094
Wirral,92240.0,23.0,33500.0,7804.0,92.0,41283.0,9215.0,239.0,107.0,E08000015
Woking,27884.0,10.0,12770.0,0.0,1731.0,4500.0,8131.0,0.0,752.0,E07000217
Wokingham,40421.0,18.0,18315.0,247.0,1347.0,7624.0,12888.0,0.0,0.0,E06000041
Wolverhampton,55470.0,22.0,18804.0,1418.0,249.0,32041.0,2437.0,0.0,521.0,E08000031
Worcester,22671.0,13.0,9360.0,2713.0,0.0,7877.0,1679.0,221.0,821.0,E07000237
Worthing,28643.0,13.0,13150.0,1181.0,0.0,9869.0,3826.0,0.0,617.0,E07000229
Wyre Forest,22675.0,11.0,9339.0,887.0,1151.0,6012.0,1952.0,2916.0,418.0,E07000239
